Ticker Symbol,Entity Name,Unique ID,As Of Date,Username,Checkins,Has App,Were Here Count,Likes,Talking About Count,Facebook Id,Date Added,Date Updated,Ticker Sector,Ticker Industry
nasdaq:jack,46895347303,38467057,6/25/2018 0:00,jackinthebox,746,FALSE,2560250,1315903,4837,46895347303,6/26/2018 1:28,6/26/2018 1:28,Consumer Services,Travel & Leisure
nyse:mcd,50245567013,38467785,6/25/2018 0:00,McDonaldsUS,13,FALSE,31762740,77810785,30040,50245567013,6/26/2018 1:33,6/26/2018 1:33,Consumer Services,Travel & Leisure
nyse:mcd,48423211136,38467784,6/25/2018 0:00,rmhcglobal,223,FALSE,359204,1006170,910,48423211136,6/26/2018 1:33,6/26/2018 1:33,Consumer Services,Travel & Leisure
nasdaq:wen,1.13385E+11,38467320,6/25/2018 0:00,wendys,51316,FALSE,3412448,8550456,12927,1.13385E+11,6/26/2018 1:30,6/26/2018 1:30,Consumer Services,Travel & Leisure
nasdaq:sonc,24540959832,38466059,6/25/2018 0:00,sonicdrivein,61019,FALSE,3819776,4644992,57137,24540959832,6/25/2018 1:46,6/25/2018 1:46,Consumer Services,Travel & Leisure
nyse:mcd,1.01501E+16,38462907,6/15/2018 0:00,McDonalds,0,FALSE,31659447,77666982,5824,1.01501E+16,6/15/2018 18:50,6/15/2018 18:50,Consumer Services,Travel & Leisure
nyse:qsr,1.34615E+14,38463225,6/14/2018 0:00,burgerking,0,FALSE,2955399,8221757,702439,1.34615E+14,6/15/2018 18:51,6/15/2018 18:51,,Food Producers
nyse:mcd,1.43442E+15,38462908,6/14/2018 0:00,McDonaldsLatino,0,FALSE,0,277089,1046,1.43442E+15,6/15/2018 18:50,6/15/2018 18:50,Consumer Services,Travel & Leisure
nyse:qsr,2.35359E+14,38463226,6/14/2018 0:00,TimHortonsUS,0,FALSE,721778,3184006,945,2.35359E+14,6/15/2018 18:51,6/15/2018 18:51,,Food Producers
nyse:mcd,48423211136,38458713,6/13/2018 0:00,rmhcglobal,223,FALSE,357286,1003749,1038,48423211136,6/13/2018 18:56,6/13/2018 18:56,Consumer Services,Travel & Leisure
nasdaq:sonc,24540959832,38457639,6/13/2018 0:00,sonicdrivein,61076,FALSE,3804669,4638375,130353,24540959832,6/13/2018 18:54,6/13/2018 18:54,Consumer Services,Travel & Leisure
nasdaq:wen,1.13385E+11,38457768,6/13/2018 0:00,wendys,51253,FALSE,3406151,8556132,46671,1.13385E+11,6/13/2018 18:54,6/13/2018 18:54,Consumer Services,Travel & Leisure
nyse:mcd,50245567013,38458714,6/13/2018 0:00,McDonaldsUS,13,FALSE,31642250,77648273,31489,50245567013,6/13/2018 18:56,6/13/2018 18:56,Consumer Services,Travel & Leisure
nasdaq:jack,46895347303,38457229,6/13/2018 0:00,jackinthebox,738,FALSE,2557427,1316802,6838,46895347303,6/13/2018 18:53,6/13/2018 18:53,Consumer Services,Travel & Leisure
nyse:mcd,1.43442E+15,38456009,6/9/2018 0:00,McDonaldsLatino,0,FALSE,0,277094,820,1.43442E+15,6/9/2018 19:52,6/9/2018 19:52,Consumer Services,Travel & Leisure
nyse:mcd,1.01501E+16,38456008,6/9/2018 0:00,McDonalds,0,FALSE,31600100,77593498,5754,1.01501E+16,6/9/2018 19:52,6/9/2018 19:52,Consumer Services,Travel & Leisure
nyse:mcd,50245567013,38450911,6/8/2018 0:00,McDonaldsUS,13,FALSE,31588904,77584178,27736,50245567013,6/8/2018 17:26,6/8/2018 17:26,Consumer Services,Travel & Leisure
nasdaq:wen,1.13385E+11,38449408,6/8/2018 0:00,wendys,51209,FALSE,3402416,8553239,41730,1.13385E+11,6/8/2018 17:24,6/8/2018 17:24,Consumer Services,Travel & Leisure
nasdaq:sonc,24540959832,38449199,6/8/2018 0:00,sonicdrivein,61087,FALSE,3795926,4634547,179234,24540959832,6/8/2018 17:23,6/8/2018 17:23,Consumer Services,Travel & Leisure
nasdaq:jack,46895347303,38448543,6/8/2018 0:00,jackinthebox,737,FALSE,2555087,1316635,8291,46895347303,6/8/2018 17:22,6/8/2018 17:22,Consumer Services,Travel & Leisure
nyse:qsr,1.34615E+14,38451521,6/8/2018 0:00,burgerking,0,FALSE,2950172,8205201,97732,1.34615E+14,6/8/2018 17:27,6/8/2018 17:27,,Food Producers
nyse:mcd,48423211136,38450910,6/8/2018 0:00,rmhcglobal,223,FALSE,356467,1002826,872,48423211136,6/8/2018 17:26,6/8/2018 17:26,Consumer Services,Travel & Leisure
