Ticker Symbol,Entity Name,Unique ID,As Of Date,Username,Checkins,Has App,Were Here Count,Likes,Talking About Count,Facebook Id,Date Added,Date Updated,Ticker Sector,Ticker Industry
nasdaq:wing,84579814673,38467323,2018-06-25 00:00:00,Wingstop,26714,False,1789050,1294698,4196,84579814673,2018-06-26 01:30:16,2018-06-26 01:30:16,Consumer Services,Travel & Leisure
nasdaq:boja,16910753646,38465876,2018-06-25 00:00:00,Bojangles1977,1,False,643594,399603,1234,16910753646,2018-06-25 01:43:39,2018-06-25 01:43:39,Consumer Services,Travel & Leisure
nasdaq:bwld,9418270899,38465881,2018-06-25 00:00:00,BuffaloWildWings,154359,False,18791624,12571683,42488,9418270899,2018-06-25 01:43:45,2018-06-25 01:43:45,Consumer Services,Travel & Leisure
nasdaq:boja,16910753646,38456843,2018-06-13 00:00:00,Bojangles1977,1,False,641041,399705,585,16910753646,2018-06-13 18:52:33,2018-06-13 18:52:33,Consumer Services,Travel & Leisure
nasdaq:bwld,9418270899,38456876,2018-06-13 00:00:00,BuffaloWildWings,154609,False,18740987,12560901,14932,9418270899,2018-06-13 18:52:37,2018-06-13 18:52:37,Consumer Services,Travel & Leisure
nasdaq:wing,84579814673,38457774,2018-06-13 00:00:00,Wingstop,26777,False,1783200,1295174,5156,84579814673,2018-06-13 18:54:43,2018-06-13 18:54:43,Consumer Services,Travel & Leisure
nasdaq:bwld,9418270899,38447902,2018-06-08 00:00:00,BuffaloWildWings,154623,False,18712832,12562539,13948,9418270899,2018-06-08 17:21:23,2018-06-08 17:21:23,Consumer Services,Travel & Leisure
nasdaq:boja,16910753646,38447840,2018-06-08 00:00:00,Bojangles1977,1,False,639852,399718,884,16910753646,2018-06-08 17:21:17,2018-06-08 17:21:17,Consumer Services,Travel & Leisure
nasdaq:wing,84579814673,38449420,2018-06-08 00:00:00,Wingstop,26784,False,1779864,1295005,6404,84579814673,2018-06-08 17:24:21,2018-06-08 17:24:21,Consumer Services,Travel & Leisure
nasdaq:bwld,9418270899,38438622,2018-06-06 00:00:00,BuffaloWildWings,154635,False,18704511,12563159,11570,9418270899,2018-06-06 16:22:44,2018-06-06 16:22:44,Consumer Services,Travel & Leisure
nasdaq:wing,84579814673,38439493,2018-06-06 00:00:00,Wingstop,26785,False,1778722,1294827,5489,84579814673,2018-06-06 16:26:40,2018-06-06 16:26:40,Consumer Services,Travel & Leisure
nasdaq:boja,16910753646,38438590,2018-06-06 00:00:00,Bojangles1977,1,False,639494,399711,1466,16910753646,2018-06-06 16:22:34,2018-06-06 16:22:34,Consumer Services,Travel & Leisure
nasdaq:wing,84579814673,38431676,2018-06-04 00:00:00,Wingstop,26784,False,1777567,1294668,4003,84579814673,2018-06-04 20:54:28,2018-06-04 20:54:28,Consumer Services,Travel & Leisure
nasdaq:bwld,9418270899,38427734,2018-06-03 00:00:00,BuffaloWildWings,154653,False,18694794,12564168,11558,9418270899,2018-06-03 20:42:35,2018-06-03 20:42:35,Consumer Services,Travel & Leisure
nasdaq:boja,16910753646,38427724,2018-06-03 00:00:00,Bojangles1977,1,False,639123,399731,1993,16910753646,2018-06-03 20:42:30,2018-06-03 20:42:30,Consumer Services,Travel & Leisure
nasdaq:wing,84579814673,38416046,2018-06-01 00:00:00,Wingstop,26786,False,1775501,1294641,3975,84579814673,2018-06-01 18:56:02,2018-06-01 18:56:02,Consumer Services,Travel & Leisure
nasdaq:boja,16910753646,38414539,2018-06-01 00:00:00,Bojangles1977,1,False,638462,399725,2243,16910753646,2018-06-01 18:53:39,2018-06-01 18:53:39,Consumer Services,Travel & Leisure
nasdaq:bwld,9418270899,38414588,2018-06-01 00:00:00,BuffaloWildWings,154659,False,18678986,12565140,8673,9418270899,2018-06-01 18:53:44,2018-06-01 18:53:44,Consumer Services,Travel & Leisure
nasdaq:bwld,9418270899,38410921,2018-05-31 00:00:00,BuffaloWildWings,154667,False,18673474,12566338,8567,9418270899,2018-05-31 09:49:01,2018-05-31 09:49:01,Consumer Services,Travel & Leisure
nasdaq:boja,16910753646,38410913,2018-05-31 00:00:00,Bojangles1977,1,False,638197,399716,1847,16910753646,2018-05-31 09:48:56,2018-05-31 09:48:56,Consumer Services,Travel & Leisure
nasdaq:wing,84579814673,38412788,2018-05-31 00:00:00,Wingstop,26788,False,1774403,1294612,4243,84579814673,2018-05-31 21:19:00,2018-05-31 21:19:00,Consumer Services,Travel & Leisure
nasdaq:bwld,9418270899,38410920,2018-05-30 00:00:00,BuffaloWildWings,154676,False,18670375,12565915,8393,9418270899,2018-05-31 09:49:01,2018-05-31 09:49:01,Consumer Services,Travel & Leisure
nasdaq:boja,16910753646,37408928,2018-05-29 00:00:00,Bojangles1977,1,False,637802,399614,1353,16910753646,2018-05-29 07:54:15,2018-05-29 07:54:15,Consumer Services,Travel & Leisure
nasdaq:wing,84579814673,37412496,2018-05-29 00:00:00,Wingstop,26788,False,1773601,1294602,4913,84579814673,2018-05-29 07:58:25,2018-05-29 07:58:25,Consumer Services,Travel & Leisure
nasdaq:bwld,9418270899,37409058,2018-05-29 00:00:00,BuffaloWildWings,154680,False,18667560,12567090,9024,9418270899,2018-05-29 07:54:24,2018-05-29 07:54:24,Consumer Services,Travel & Leisure
nasdaq:boja,16910753646,37408927,2018-05-28 00:00:00,Bojangles1977,1,False,637545,399597,969,16910753646,2018-05-29 07:54:15,2018-05-29 07:54:15,Consumer Services,Travel & Leisure
nasdaq:bwld,9418270899,37409057,2018-05-28 00:00:00,BuffaloWildWings,154682,False,18662675,12566555,9549,9418270899,2018-05-29 07:54:24,2018-05-29 07:54:24,Consumer Services,Travel & Leisure
nasdaq:wing,84579814673,37412495,2018-05-28 00:00:00,Wingstop,26788,False,1773000,1294541,5140,84579814673,2018-05-29 07:58:25,2018-05-29 07:58:25,Consumer Services,Travel & Leisure
nasdaq:boja,16910753646,37399560,2018-05-27 00:00:00,Bojangles1977,1,False,637323,399586,993,16910753646,2018-05-27 05:17:30,2018-05-27 05:17:30,Consumer Services,Travel & Leisure
nasdaq:wing,84579814673,37401340,2018-05-27 00:00:00,Wingstop,26789,False,1772250,1294204,4068,84579814673,2018-05-27 05:21:46,2018-05-27 05:21:46,Consumer Services,Travel & Leisure
nasdaq:bwld,9418270899,37399625,2018-05-27 00:00:00,BuffaloWildWings,154691,False,18656513,12567882,9334,9418270899,2018-05-27 05:17:42,2018-05-27 05:17:42,Consumer Services,Travel & Leisure
nasdaq:wing,84579814673,37390180,2018-05-26 00:00:00,Wingstop,26790,False,1770951,1294249,4859,84579814673,2018-05-26 10:53:23,2018-05-26 10:53:23,Consumer Services,Travel & Leisure
nasdaq:boja,16910753646,37397797,2018-05-26 00:00:00,Bojangles1977,1,False,637246,399586,993,16910753646,2018-05-26 18:22:29,2018-05-26 18:22:29,Consumer Services,Travel & Leisure
nasdaq:bwld,9418270899,37397802,2018-05-26 00:00:00,BuffaloWildWings,154691,False,18650849,12567832,8952,9418270899,2018-05-26 18:22:33,2018-05-26 18:22:33,Consumer Services,Travel & Leisure
