Ticker Symbol,Entity Name,Unique ID,As Of Date,Username,Checkins,Has App,Were Here Count,Likes,Talking About Count,Facebook Id,Date Added,Date Updated,Ticker Sector,Ticker Industry
nasdaq:taco,33436041410,38466069,2018-06-25 00:00:00,deltaco,510,False,362832,605590,2121,33436041410,2018-06-25 01:46:35,2018-06-25 01:46:35,,
nasdaq:frgi,6415052155,38465926,2018-06-25 00:00:00,TacoCabana,0,False,557719,353553,2138,6415052155,2018-06-25 01:44:35,2018-06-25 01:44:35,Consumer Services,Travel & Leisure
nasdaq:loco,84772351477,38467096,2018-06-25 00:00:00,ElPolloLoco,0,False,608640,435428,3589,84772351477,2018-06-26 01:28:29,2018-06-26 01:28:29,,Food Producers
nasdaq:frgi,233921809956670,38461608,2018-06-14 00:00:00,PolloTropical,13775,False,13775,175415,521,233921809956670,2018-06-15 18:45:12,2018-06-15 18:45:12,Consumer Services,Travel & Leisure
nasdaq:frgi,6415052155,38457081,2018-06-13 00:00:00,TacoCabana,0,False,556042,353286,3360,6415052155,2018-06-13 18:53:07,2018-06-13 18:53:07,Consumer Services,Travel & Leisure
nasdaq:loco,84772351477,38457305,2018-06-13 00:00:00,ElPolloLoco,0,False,607526,434826,1333,84772351477,2018-06-13 18:53:37,2018-06-13 18:53:37,,Food Producers
nasdaq:taco,33436041410,38457680,2018-06-13 00:00:00,deltaco,510,False,361514,606300,5359,33436041410,2018-06-13 18:54:30,2018-06-13 18:54:30,,
nasdaq:taco,33436041410,38449262,2018-06-08 00:00:00,deltaco,510,False,360797,606341,3566,33436041410,2018-06-08 17:24:03,2018-06-08 17:24:03,,
nasdaq:frgi,233921809956670,38448274,2018-06-08 00:00:00,PolloTropical,13773,False,13773,175296,361,233921809956670,2018-06-08 17:22:12,2018-06-08 17:22:12,Consumer Services,Travel & Leisure
nasdaq:loco,84772351477,38448653,2018-06-08 00:00:00,ElPolloLoco,0,False,606841,434816,1632,84772351477,2018-06-08 17:22:55,2018-06-08 17:22:55,,Food Producers
nasdaq:frgi,6415052155,38448275,2018-06-08 00:00:00,TacoCabana,0,False,555011,352826,3961,6415052155,2018-06-08 17:22:12,2018-06-08 17:22:12,Consumer Services,Travel & Leisure
nasdaq:frgi,233921809956670,38443223,2018-06-07 00:00:00,PolloTropical,13773,False,13773,175287,283,233921809956670,2018-06-07 19:38:53,2018-06-07 19:38:53,Consumer Services,Travel & Leisure
nasdaq:frgi,6415052155,38438820,2018-06-06 00:00:00,TacoCabana,0,False,554726,352674,4299,6415052155,2018-06-06 16:23:43,2018-06-06 16:23:43,Consumer Services,Travel & Leisure
nasdaq:taco,33436041410,38439403,2018-06-06 00:00:00,deltaco,510,False,360580,606335,4674,33436041410,2018-06-06 16:26:16,2018-06-06 16:26:16,,
nasdaq:loco,84772351477,38439038,2018-06-06 00:00:00,ElPolloLoco,0,False,606607,434778,1813,84772351477,2018-06-06 16:24:33,2018-06-06 16:24:33,,Food Producers
nasdaq:frgi,233921809956670,38435386,2018-06-05 00:00:00,PolloTropical,13770,False,13770,175254,222,233921809956670,2018-06-05 19:02:59,2018-06-05 19:02:59,Consumer Services,Travel & Leisure
nasdaq:loco,84772351477,38431269,2018-06-04 00:00:00,ElPolloLoco,0,False,606353,434711,1784,84772351477,2018-06-04 20:53:12,2018-06-04 20:53:12,,Food Producers
nasdaq:taco,33436041410,38428303,2018-06-03 00:00:00,deltaco,510,False,360252,606274,5262,33436041410,2018-06-03 20:44:34,2018-06-03 20:44:34,,
nasdaq:frgi,6415052155,38427886,2018-06-03 00:00:00,TacoCabana,0,False,554318,352495,4655,6415052155,2018-06-03 20:43:11,2018-06-03 20:43:11,Consumer Services,Travel & Leisure
